Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Jarvis Hayes,10,4.4,2.0,1.1,0.4,18.3,11.30,.602,.239,79,220,22,0
Nick Collison,12,10.0,2.2,1.2,1.9,18.5,10.53,.583,.394,81,255,23,0
Marcus Banks,13,3.3,5.5,2.8,0.1,20.3,4.67,.606,.493,74,200,22,0
Luke Ridnour,14,3.4,6.6,1.9,0.1,19.7,6.11,.582,.391,74,175,22,0
Reece Gaines,15,2.9,5.0,1.7,0.1,17.9,6.84,.602,.514,78,205,22,0
Troy Bell,16,4.6,3.7,2.3,0.2,25.2,7.23,.615,.528,73,180,23,0
David West,18,11.8,3.2,1.3,1.6,20.1,4.61,.600,.617,81,240,23,0
Dahntay Jones,20,5.5,0.9,1.2,0.5,17.7,8.38,.572,.444,78,210,23,0
Emeka Okafor,2,11.5,1.0,1.0,4.1,17.6,7.77,.588,.500,82,252,22,0
Ben Gordon,3,4.7,4.5,1.4,0.2,18.5,7.77,.572,.309,75,200,21,0
Devin Harris,5,4.3,4.4,1.8,0.1,19.5,7.49,.606,.524,75,185,21,0
Josh Childress,6,7.5,2.7,0.9,1.6,15.7,4.34,.602,.374,80,210,21,0
Luol Deng,7,6.9,1.8,1.3,1.1,15.1,10.86,.551,.313,80,220,19,0
Rafael Araújo,8,10.1,1.2,1.4,0.8,18.4,6.30,.616,.459,83,280,24,0
Andre Iguodala,9,8.4,4.9,1.6,0.4,12.9,6.63,.542,.391,78,207,20,0
Luke Jackson,10,7.2,4.5,1.3,0.2,21.2,6.91,.631,.440,79,215,23,0
Kris Humphries,14,10.1,0.7,0.9,1.1,21.7,5.36,.518,.460,81,235,19,0
Kirk Snyder,16,5.7,3.4,1.0,0.6,18.8,5.82,.538,.468,78,225,21,0
Jameer Nelson,20,4.7,5.3,2.8,0.0,20.6,4.97,.584,.302,72,190,22,0
Andrew Bogut,1,12.2,2.3,1.0,1.9,20.4,4.54,.648,.459,84,245,21,1
Marvin Williams,2,6.6,0.7,1.1,0.5,11.3,10.66,.627,.660,81,230,19,0
Deron Williams,3,3.6,6.8,1.0,0.2,12.5,8.47,.535,.234,75,210,21,1
Chris Paul,4,4.5,6.6,2.4,0.0,15.3,10.27,.601,.590,72,175,20,1
Raymond Felton,5,4.3,6.9,2.0,0.3,12.9,10.66,.589,.406,73,198,21,0
Charlie Villanueva,7,8.3,1.3,0.6,1.8,13.6,7.62,.566,.462,83,240,21,0
Channing Frye,8,7.6,1.9,0.9,2.3,15.8,8.03,.605,.373,83,248,22,0
Ike Diogu,9,9.8,1.3,0.6,2.3,22.6,5.36,.663,.781,80,250,22,0
Sean May,13,10.7,1.7,1.2,1.0,17.5,10.66,.620,.627,81,266,21,0
Rashad McCants,14,3.0,2.7,1.3,0.7,16.0,10.66,.609,.337,76,207,21,0
Antoine Wright,15,6.0,2.2,1.2,0.7,17.8,5.19,.613,.361,79,210,21,0
